Gene	Gene_Name	Log10_Pvalue	Log_fold_change
ENSG00000099999	RNF215	-4.188	-0.724
ENSG00000198911	SREBF2	-20.067	-0.741
ENSG00000079974	RABL2B	-4.697	-0.752
ERCC-00165	ERCC-00165	-3.448	-0.773
ENSG00000128159	TUBGCP6	-18.034	-0.796
ENSG00000100146	SOX10	-9.411	-0.803
ERCC-00076	ERCC-00076	-11.169	-0.815
ERCC-00112	ERCC-00112	-15.608	-0.816
ENSG00000235954	TTC28-AS1	-3.783	-0.827
ENSG00000196588	MKL1	-7.697	-0.840
ENSG00000099968	BCL2L13	-18.289	-0.843
ENSG00000100239	PPP6R2	-9.951	-0.851
ERCC-00002	ERCC-00002	-79.904	-0.890
ENSG00000100403	ZC3H7B	-37.284	-0.899
ENSG00000198792	TMEM184B	-20.971	-0.912
ENSG00000138944	KIAA1644	-20.426	-0.920
ENSG00000070413	DGCR2	-23.481	-0.922
ENSG00000100030	MAPK1	-39.657	-0.933
ENSG00000099910	KLHL22	-8.995	-0.957
ENSG00000130638	ATXN10	-22.911	-1.007
ENSG00000184792	OSBP2	-9.360	-1.037
ENSG00000184708	EIF4ENIF1	-11.742	-1.058
ERCC-00078	ERCC-00078	-7.706	-1.066
ENSG00000100330	MTMR3	-32.034	-1.104
ENSG00000133460	SLC2A11	-6.254	-1.116
ENSG00000100354	TNRC6B	-63.118	-1.123
ENSG00000183864	TOB2	-23.532	-1.144
ENSG00000100364	KIAA0930	-45.911	-1.206
ENSG00000100284	TOM1	-18.992	-1.207
ENSG00000183172	SMDT1	-6.448	-1.218
ENSG00000100320	RBFOX2	-82.153	-1.229
ENSG00000100242	SUN2	-47.249	-1.241
ENSG00000100036	SLC35E4	-5.392	-1.295
ENSG00000100412	ACO2	-72.355	-1.300
ENSG00000184319	RPL23AP82	-8.761	-1.356
ENSG00000100241	SBF1	-97.728	-1.363
ENSG00000100077	GRK3	-38.690	-1.388
ENSG00000279010	MIR4534	-29.084	-1.429
ENSG00000197182	MIRLET7BHG	-10.369	-1.459
ENSG00000100151	PICK1	-15.457	-1.506
ENSG00000131100	ATP6V1E1	-78.645	-1.530
ENSG00000241878	PISD	-57.999	-1.573
ENSG00000243156	MICAL3	-62.769	-1.650
ENSG00000185340	GAS2L1	-23.391	-1.814
ENSG00000100003	SEC14L2	-21.238	-1.888
ENSG00000099889	ARVCF	-38.712	-1.923
ENSG00000133424	LARGE1	-64.255	-1.992
ENSG00000183741	CBX6	-189.052	-2.002
ENSG00000278195	SSTR3	-14.164	-2.174
ENSG00000241973	PI4KA	-192.009	-2.175
ENSG00000100033	PRODH	-46.886	-2.210
ENSG00000185386	MAPK11	-29.709	-2.212
ENSG00000100379	KCTD17	-18.188	-2.268
ENSG00000100027	YPEL1	-31.986	-2.311
ENSG00000205593	DENND6B	-29.360	-2.396
ENSG00000100100	PIK3IP1	-55.167	-2.534
ENSG00000198832	SELM	-39.295	-2.566
ENSG00000128245	YWHAH	-299.266	-2.592
ENSG00000128203	ASPHD2	-26.361	-2.663
ENSG00000100302	RASD2	-33.467	-2.746
ENSG00000183628	DGCR6	-38.732	-2.783
ENSG00000184702	SEPT5	-238.371	-2.867
ENSG00000183307	CECR6	-19.461	-2.950
ENSG00000214076	CPSF1P1	-26.055	-2.971
ENSG00000100362	PVALB	-68.027	-3.037
ENSG00000040608	RTN4R	-54.925	-3.213
ENSG00000221890	NPTXR	-219.499	-3.330
ENSG00000166897	ELFN2	-85.980	-3.353
ENSG00000185133	INPP5J	-41.060	-3.675
ENSG00000128266	GNAZ	-176.312	-3.764
ENSG00000073150	PANX2	-41.368	-3.834
ENSG00000185666	SYN3	-55.195	-3.850
ENSG00000100285	NEFH	-153.746	-3.861
ENSG00000167074	TEF	-227.602	-3.891
ENSG00000219438	FAM19A5	-115.818	-3.998
ENSG00000183773	AIFM3	-54.327	-4.014
ENSG00000225783	MIAT	-Inf	-4.045
ENSG00000251322	SHANK3	-251.142	-4.046
ENSG00000128268	MGAT3	-235.090	-4.098
ENSG00000100307	CBX7	-195.451	-4.109
ENSG00000100167	SEPT3	-Inf	-4.632
ENSG00000186976	EFCAB6	-31.051	-4.697
ENSG00000273032	DGCR9	-37.887	-4.736
ENSG00000100321	SYNGR1	-Inf	-4.777
ENSG00000237517	DGCR5	-142.993	-5.134
ENSG00000100427	MLC1	-237.964	-5.232
ENSG00000100095	SEZ6L	-Inf	-5.367
ENSG00000182902	SLC25A18	-80.339	-5.375
ENSG00000167037	SGSM1	-141.233	-5.612
ENSG00000172346	CSDC2	-66.774	-5.619
ENSG00000008735	MAPK8IP2	-Inf	-5.726
ENSG00000168135	KCNJ4	-65.141	-5.767
ENSG00000100399	CHADL	-36.107	-6.007
ENSG00000225465	RFPL1S	-140.198	-6.184
ENSG00000130540	SULT4A1	-298.402	-6.704
ENSG00000100346	CACNA1I	-111.916	-6.866
ENSG00000186732	MPPED1	-134.333	-7.045
ENSG00000184113	CLDN5	-60.558	-7.665
ENSG00000166862	CACNG2	-30.492	-8.431
ENSG00000261675	RP5-1119A7.17	-45.129	-8.810
